Name,Country,Episodes,Score,Number_of_rates,Description,Genres,Tag,Director,Screenwriter
Oh! My Gran,South Korea ,,7.6,241,"The granny with dementia is the only witness of the day.
In her mind, Moon Hee is ‘Secret Jouju’, the princess in TV animation. In reality, Moon Hee is a granny with Alzheimer’s disease cared by her son, Du Won and the grand-daughter, Bo Mi. On one secret night-out with Bo Mi, Bo Mi gets a hit-and-run accident. Moon Hee is the only witness, but she rather mumbles the nonsense. Bo Mi stays in a coma and the police can’t help. Now Du Won has to track down that culprit with a few pieces of the vehicle and his mother’s might-be-meaningful gibberish.

(Source: HanCinema)","Mystery,  Comedy,  Drama ",Polydactyly Cardiac Arrest Single Father Male Lead Neurological Disorder Elder Female Lead Hit And Run Car Accident Hot-Tempered Male Lead Domestic Abuse Impulsive Male Lead,,
GoGo Sentai Boukenger,Japan ,49,7.6,300,"Powerful relics known as Precious have started to appear throughout the world. However, the various Negative Syndicates wish to take the Precious for themselves and utilize them for evil means. To make sure that the Precious do not fall into the hands of the Negative Syndicates, the Search Guard Successor Foundation has developed its own special operations team, the Boukengers, to do battle and collect some of the more dangerous Precious. ","Action,  Adventure,  Tokusatsu,  Sci-Fi ",Superhero Female Lead Superhero Male Lead Multiple Mains,"Nakazawa Shojiro,  Watanabe Katsuya,  Suzumura Nobuhiro,  Sakamoto Taro ","Arakawa Naruhisa,  Kobayashi Yasuko "
The Fortress,South Korea ,,7.6,455,"During the Qing Invasion of Korea, the king and the court take refuge in a mountain fortress, where they find themselves stranded in the cold and surrounded by the enemy. The king’s dilemma deepens as his people in the fortress start dying from cold and hunger. In 1636, Qing China invades Korea with 150,000 troops. The Korean court flees the capital to take shelter in the Namhan Fortress, located in treacherous mountains outside the city. The Qing army, led by General Yong Gol Dae, quickly surrounds the fortress, leaving the king and the court stranded in a prolonged standoff. 

For a truce, the Qing general makes a humiliating proposal of sending the Crown Prince out as a hostage. Unable to move forward or fight the outnumbering enemy, the people of the fortress start dying from cold and hunger. Between the interior minister, who emphasizes the king’s duty to protect the lives of his subjects regardless of humiliation, and the minister of rites, who maintains that they must fight to death for the greater cause, the king must make a grave choice.

(Source: CJ Entertainment)","Military,  Historical,  War,  Political ",Joseon Dynasty Qing Dynasty Injo Qing Invasion Of Joseon Battle Leadership Death Historical Figure Historical Fiction Ming Dynasty,er & Director: Hwang Dong Hyuk ,
Ab Ruk Online,Thailand ,15,7.6,486,"The beautiful Awatsaya has a bright future. Already a business leader in her mid-30's, she excels professionally and expects to remain single. But that intention is disrupted when her company hires Pranon, a recently heart-broken, handsome, talented and kind man. She falls for him, but to maintain her position and image she cannot openly pursue him. Instead she courts him using the pseudonym Ab Ruk in a chat program. Their online relationship grows smoothly until Prippreaw, a rich young woman who is in love with Pranon, pretends to be Ab Ruk. To further complicate the relationship between Awatsaya and Pranon, a handsome boss joins their workplace. Mr. Lipta is secretly infatuated with Awatsaya. And his playful teasing nature is quite charming. 
Source: Viki","Business,  Comedy,  Romance,  Drama ",Bickering Mains' Relationship Workplace Setting Supportive Male Lead Caring Male Lead Flashback To Past Workplace Romance Secret Crush Steamy Kiss Love At First Sight Smart Male Lead,Aew Ampaiporn Jitmaingong ,"Ying Wanwipa Samngamjam,  Sutisa Wongyu "
22 Flower Road,South Korea ,12,7.6,295,"""22 Flower Road"" is a webdrama about young people who share what they have and do not have with each other and become adults. It is expected to bring about realistic empathy with its highlights through the youthful lives of five young people.

(Source: HanCinema) ","Romance,  Youth,  Drama ",Housemates' Relationship Chasing A Dream Share House Cohabitation Web Series Multiple Couples Love/Hate Relationship First Love Love Triangle Friendship,,
Game Maya,Thailand ,17,7.6,988,Gun's fiancee dies in an accident right before their wedding leaving a message in which she blames Khun Kawin for her death. Pim is a famous star and Kawin's fiancee. Gun plans to revenge while presuming the identity of Pim's bodyguard but he slowly finds himself falling for Pim. ,"Action,  Thriller,  Romance,  Drama ",Infidelity Revenge Attempted Murder Gun Fight Corruption Murder Weak Female Lead Actress Female Lead Bodyguard Male Lead Hatred,Chanon Somrit ,Bamboo 
Ando Lloyd - A.I. Knows Love ?,Japan ,10,7.6,"1,280","Reiji Matsushima is a genius physicist. He realizes that he and his fiancée, Asahi Ando, will be killed because of the theory he advanced.

One day, in the year 2013, Reiji dies in an airplane explosion. He was a handsome and world-famous professor who studied wormhole theories. It is a mystery whether his research on wormhole theory caused his death or not.
His fiancée, Asahi, is a capable career woman working at a large IT company. She is beautiful and smart, but she met Reiji and fell in love with him. Her days with Reiji were happy, but one day, he dies, and somebody tries to kill her. Asahi doesn't know why someone wants to end her life.

Lloyd, who looks exactly like her dead fiancé Reiji, suddenly appears in front of her. Lloyd came from the year 2113. His mission is to protect Asahi from any risky situations. Without Asahi's knowledge, Lloyd fights to protect her. Lloyd doesn't know what ""love"" is and doesn't understand human anger or sadness. At first, Asahi doesn't like Lloyd, but slowly her feelings change. Lloyd also begins to develop feelings for her.","Action,  Mystery,  Romance,  Sci-Fi ",Time Travel Death Of A Fiancé Genius Male Lead Attempted Murder Fight Death Android Artificial Intelligence Robot Murder,"Hatano Takafumi,  Kimura Hisashi,  Tsuboi Toshio ","Izumisawa Yoko,  Nishiogi Yumie "
Cupid's Kitchen,China ,40,7.6,"1,423","Blessed with an acute sense of taste, Lin Ke Song has the unique ability to identify the ingredients in any dish, with just a single bite. Despite her rare gift, she has never been much of a cook and as such, has never given much thought to pursue a career in the culinary arts. At least not until the day she met Michelin-certified chef, Jiang Qian Fan.

Smitten by another man, Ke Song decides to follow her one-sided love to America, in hopes of winning his affections; however, all her plans are derailed soon after her arrival. Crossing paths with Qian Fan not long after, the highly acclaimed chef is intrigued by her rare gift. Taking her under his wing, Qian Fan begins to teach Ke Song how to apply her skills in the kitchen. Working together, they prepare for an upcoming cooking competition, but the road leading them there is full of potholes. 

Struggling to find her place in the kitchen, Ke Song endures Qian Fan’s rigorous training. Difficult as it may be, she slowly begins to develop her own set of skills, gaining not only a newfound confidence but Qian Fan’s admiration as well. But will any of this be enough to give her what her heart truly desires?

(Source: Viki)

~~ Adapted from the novel ""The Heartbeat at the Tip of the Tongue"" (舌尖上的心跳) by Jiao Tang Dong Gua (焦糖冬瓜).","Food,  Comedy,  Romance ",Older Man/Younger Woman Cooking Adapted From A Novel Nice Female Lead Hardworking Female Lead Restaurant Setting Chef Male Lead Chef Female Lead,Li Jun ,Meng Yao 
Fists of Legend,South Korea ,,7.6,183,"The story of three legendary street-fighting high school friends and rivals who reunite 25 years later for the biggest fight of their lives. On a television show billed as ‘the greatest fight show on Earth,’ eager amateurs with lots to prove boldly step into the ring and expect to leave bloody but victorious. The gruesome fighting competition unexpectedly forces the three men to reconcile their broken friendship from the past and encounter true victory.
(Source: CJ Entertainment)","Action,  Drama,  Sports ",Mixed Martial Arts,Kang Woo Suk ,Jang Min Seok 
The Soul,Taiwan ,,7.6,339,"Liang Wen Chao is a man suffering from cancer, yet remains dedicated to his job. His wife A Bao is pregnant with their child. When Wang Shi Chong, the chairman of a famous conglomerate, died tragically in his home, the couple took on the difficult case. Through their meticulous investigations, they discover intricate connections between everyone: the son of the deceased Wang Tian You and his wife Li Yan, Wang Shi Chong's long-time partner Wan Yu Fan and even his dead ex-wife Tang Su Zhen. As more clues rise to the surface, the situation becomes more complicated. After all, what can be seen by the naked eye might not always be true.

(Source: ChineseDrama.info)

~~ Adapted from the novel ""Yi Hun You Shu"" (移魂有术) by Jiang Bo (江波).
~~ Two versions available: 124 minutes (mainland China, edited) || 130 minutes (Taiwan, uncut), with two different endings.","Thriller,  Mystery,  Crime,  Sci-Fi ",Cancer Adapted From A Novel Investigation Suspense Murder Death Nudity Blood Extreme Violence Mild Sexual Content,er & Director: Cheng Wei Hao ,
Friends Games: The Movie,Japan ,,7.6,480,"When Katakiri Yuichi was a child, his mother taught him that friends are more important than money. Now, as a high school student, Yuichi prioritizes friends over money. One day, Yuichi and his friends become involved in the ""Friends Games"" which carries large amounts of money. ","Mystery,  Psychological,  Drama ",Debt Game Adapted From A Manga Death Game Smart Male Lead Lying Investigation Romance,,Sagami Yoshitsugu 
Hi Flower,China ,18,7.6,441,"Lu Ru Hua is a well-known “salesman” at Haicheng University, where she will do anything to make money, from sneaking into the boy’s dorm to deliver takeaways to queuing in the scorching sun to get other people’s military training equipment and a stock of anything that you could possibly need at a university all whilst she is studying. However, the reason why she does this is to pay the crippling debts her parents left behind after their death and the exorbitant medical fees for her twin brother, Lu Si Yu, the student who achieved the highest marks in the entrance exam that year.

Things change for her when she meets Wen Chu, a rich heir and a talented oil painter at the university. Although it was hate at first sight due to a series of misunderstandings, their relationship improves over time, and soon they fall in love.
But things never go smoothly, and a series of incidents test their dreams, ambitions, love and friendship as they navigate through the 4 years of university and learn what being a youth (young adult) is about.","Comedy,  Romance,  Youth ",School Setting Roommates' Relationship Fraternal Twin Supporting Character Fraternal Twin Male Lead Arrogant Male Lead Brother-Sister Relationship Hardworking Female Lead University Enemies To Lovers Tsundere,,
